City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,geraldton,-28.7667,114.6,22.23,49,0,5.66,AU,1667704448
83,fare,-16.7,-151.0167,25.98,86,100,13.16,PF,1667704449
84,nakambala,-15.8324,27.7799,19.13,87,100,1.42,ZM,1667704449
85,saint-philippe,-21.3585,55.7679,23.39,79,68,3.67,RE,1667704367
86,laguna,38.421,-121.4238,16.16,82,100,3.6,US,1667704451
87,leningradskiy,69.3833,178.4167,-8.48,89,100,8.49,RU,1667704451
88,rahuri,19.3833,74.65,23.27,46,22,2.53,IN,1667704452
89,jamestown,42.097,-79.2353,22.77,65,0,6.69,US,1667704254
90,hohhot,40.8106,111.6522,6.99,62,90,1.41,CN,1667704452
91,chibuto,-24.6867,33.5306,20.47,91,99,1.91,MZ,1667704453
92,praia da vitoria,38.7333,-27.0667,15.42,91,48,3.05,PT,1667704453
93,airai,-8.9266,125.4092,25.52,44,99,1.13,TL,1667704454
94,palauig,15.435,119.9045,29.83,65,45,2.31,PH,1667704455
95,hithadhoo,-0.6,73.0833,27.38,74,100,3.82,MV,1667704455
96,allanridge,-27.7543,26.6438,15.07,52,0,1.94,ZA,1667704456
97,hobart,-42.8794,147.3294,23.92,45,0,4.12,AU,1667704456
98,yellowknife,62.456,-114.3525,-18.58,77,6,4.47,CA,1667704457
99,marawi,7.9986,124.2928,25.95,76,66,1.49,PH,1667704457
100,hilo,19.7297,-155.09,25.85,79,0,2.06,US,1667704309
101,bethel,41.3712,-73.414,19.16,82,75,2.06,US,1667704458
102,castro,-24.7911,-50.0119,8.3,98,14,2.57,BR,1667704459
103,petropavlovsk-kamchatskiy,53.0452,158.6483,2.33,81,75,2.0,RU,1667704459
104,victoriaville,46.0501,-71.9658,21.38,76,100,6.31,CA,1667704460
105,ponta do sol,32.6667,-17.1,20.95,87,25,1.74,PT,1667704461
106,mawlaik,23.6333,94.4167,26.52,63,2,0.54,MM,1667704461
107,idukki,9.85,76.9667,23.27,78,38,0.97,IN,1667704462
108,cabo san lucas,22.8909,-109.9124,24.17,65,0,4.63,MX,1667704374
109,pevek,69.7008,170.3133,-1.3,90,100,10.68,RU,1667704384
110,havoysund,70.9963,24.6622,5.13,91,100,4.46,NO,1667704463
111,birnin kebbi,12.4539,4.1975,22.99,24,51,3.51,NG,1667704464
112,yeniseysk,58.4497,92.1703,-1.33,94,100,2.07,RU,1667704465
113,mahebourg,-20.4081,57.7,24.58,88,40,3.6,MU,1667704419
114,kodiak,57.79,-152.4072,-1.27,47,0,9.26,US,1667704214
115,mahibadhoo,3.7833,72.9667,27.37,76,76,4.81,MV,1667704467
116,lompoc,34.6391,-120.4579,14.96,92,0,7.2,US,1667704468
117,puerto ayora,-0.7393,-90.3518,18.79,78,15,4.54,EC,1667704469
118,kijang,35.2442,129.2139,14.54,19,0,0.66,KR,1667704469
119,opuwo,-18.0607,13.84,20.31,41,46,1.64,NA,1667704470
120,singapore,1.2897,103.8501,30.51,61,75,1.54,SG,1667704367
121,port macquarie,-31.4333,152.9167,23.83,64,91,4.39,AU,1667704387
122,avera,33.194,-82.5271,21.32,95,100,2.93,US,1667704462
123,kaeo,-35.1,173.7833,20.74,71,100,4.7,NZ,1667704471
124,aranda de duero,41.6704,-3.6892,7.49,46,28,1.23,ES,1667704472
125,mogadishu,2.0371,45.3438,25.4,81,14,4.4,SO,1667704472
126,kieta,-6.2167,155.6333,28.38,79,100,4.17,PG,1667704473
127,gari,59.4307,62.3497,-9.71,94,66,1.97,RU,1667704473
128,kapaa,22.0752,-159.319,27.99,80,75,6.17,US,1667704474
129,naze,28.3667,129.4833,19.6,60,12,5.5,JP,1667704475
130,bolu,40.6667,31.5833,9.96,40,0,2.17,TR,1667704475
131,mochalishche,56.3306,48.3547,-4.59,96,18,1.62,RU,1667704476
132,kavaratti,10.5669,72.642,27.11,78,55,3.63,IN,1667704476
133,katsuura,35.1333,140.3,16.6,64,100,6.89,JP,1667704477
134,malakal,9.5334,31.6605,24.15,39,55,0.97,SS,1667704477
135,ust-nera,64.5667,143.2,-20.17,96,100,2.8,RU,1667704478
136,sechura,-5.5569,-80.8222,16.81,83,0,4.73,PE,1667704478
137,russell,32.3502,-85.1999,22.76,83,0,4.63,US,1667704479
